1	[{"caption": "a green bus driving down a street next to a fence.", "conf": 0.8797242641448975}]
2	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9197478294372559}]
3	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9166663885116577}]
4	[{"caption": "a man running on a field with a frisbee.", "conf": 0.8889370560646057}]
5	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9223412275314331}]
6	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9172650575637817}]
7	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9845605492591858}]
8	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9166663885116577}]
9	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9314217567443848}]
10	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9223411083221436}]
11	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9083056449890137}]
12	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9266342520713806}]
13	[{"caption": "a man running on a field with a frisbee.", "conf": 0.8889370560646057}]
14	[{"caption": "a man running in a field with a frisbee.", "conf": 0.8465384840965271}]
15	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9910104870796204}]
16	[{"caption": "a man running in a field with a frisbee.", "conf": 0.8465384840965271}]
17	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9374982118606567}]
18	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9197478294372559}]
19	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9256885051727295}]
20	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9910104274749756}]
21	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9281445145606995}]
22	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9250510931015015}]
23	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9197478890419006}]
24	[{"caption": "a man running on a field with a frisbee.", "conf": 0.8889370560646057}]
25	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9250510931015015}]
26	[{"caption": "a man running on a field with a frisbee.", "conf": 0.8889370560646057}]
27	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9166663885116577}]
28	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.984560489654541}]
29	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9172651767730713}]
30	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9902864694595337}]
31	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9197478890419006}]
32	[{"caption": "a man running on a field with a frisbee.", "conf": 0.8889370560646057}]
33	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9901257157325745}]
34	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9277480244636536}]
35	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9911905527114868}]
36	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.984560489654541}]
37	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9250510931015015}]
38	[{"caption": "a couple of men playing with a frisbee in a field.", "conf": 0.9223411083221436}]
39	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9910104870796204}]
40	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9374982118606567}]
41	[{"caption": "a couple of men playing a game of frisbee.", "conf": 0.9083056449890137}]
42	[{"caption": "a man jumping in the air to catch a frisbee.", "conf": 0.9910104274749756}]
43	[{"caption": "a man running in a field with a frisbee.", "conf": 0.8465384840965271}]
